"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1498.973297,8.52833102618979,2879.6833938,55.1284816591342,2879.6833938,55.1284816591342,NA,NA,NA,NA,NA,NA
"2",1753.508622,28.1533080484423,2879.6833938,55.1284816591342,3042.6639282,63.2137747163938,NA,NA,NA,NA,NA,NA
"3",1849.646614,24.0868990970423,2879.6833938,55.1284816591342,3083.0063906,56.0220411747696,NA,NA,NA,NA,NA,NA
"4",1902.330605,20.3432223671139,2879.6833938,55.1284816591342,3084.9363344,54.217074127228,NA,NA,NA,NA,NA,NA
"5",1923.133748,20.9210659695532,2879.6833938,55.1284816591342,3081.7245612,51.4133538229571,NA,NA,NA,NA,NA,NA
"6",1946.020131,19.0310219248897,2879.6833938,55.1284816591342,3073.0540534,44.2676247074182,NA,NA,NA,NA,NA,NA
"7",1958.958289,18.7840779206128,2879.6833938,55.1284816591342,3056.39447,41.1593010690035,NA,NA,NA,NA,NA,NA
"8",1972.981293,18.6871343437624,2879.6833938,55.1284816591342,3048.889644,38.9528598278462,NA,NA,NA,NA,NA,NA
"9",1983.441905,19.2080650014511,2879.6833938,55.1284816591342,3075.4849896,36.4684881908902,NA,NA,NA,NA,NA,NA
"10",1994.382085,20.3851913686776,2879.6833938,55.1284816591342,3084.4458394,38.0596907884178,NA,NA,NA,NA,NA,NA
"11",2006.828461,19.4593833346041,2879.6833938,55.1284816591342,3088.9862954,37.0457100507069,NA,NA,NA,NA,NA,NA
"12",2023.55604,19.3451088877091,2879.6833938,55.1284816591342,3085.3929158,36.3416329695742,NA,NA,NA,NA,NA,NA
"13",2037.766619,20.2272962830623,2879.6833938,55.1284816591342,3093.5356218,36.4963975048795,NA,NA,NA,NA,NA,NA
"14",2049.15153,20.0611883929319,2879.6833938,55.1284816591342,3099.8571908,38.5431647134315,NA,NA,NA,NA,NA,NA
"15",2061.588015,20.4457977379107,2879.6833938,55.1284816591342,3097.3821102,37.8776540903682,NA,NA,NA,NA,NA,NA
"16",2071.835944,20.7787531530216,2879.6833938,55.1284816591342,3119.7787268,39.0444567588293,NA,NA,NA,NA,NA,NA
"17",2082.917532,20.8956755014237,2879.6833938,55.1284816591342,3127.642682,38.2112011997037,NA,NA,NA,NA,NA,NA
"18",2093.963868,21.7213201189252,2879.6833938,55.1284816591342,3128.8673702,38.0325083070475,NA,NA,NA,NA,NA,NA
"19",2105.170828,21.5197329990101,2879.6833938,55.1284816591342,3128.9014686,38.2315161856309,NA,NA,NA,NA,NA,NA
"20",2113.694689,21.9223476119569,2879.6833938,55.1284816591342,3127.4964616,36.0371788902107,NA,NA,NA,NA,NA,NA
"21",2122.216578,22.4916365149561,2879.6833938,55.1284816591342,3152.9651244,41.4745633427333,NA,NA,NA,NA,NA,NA
"22",2133.772407,22.834195657299,2879.6833938,55.1284816591342,3158.4389674,40.8937068589025,NA,NA,NA,NA,NA,NA
"23",2144.58297,23.053358930104,2879.6833938,55.1284816591342,3156.2965736,41.3992209352241,NA,NA,NA,NA,NA,NA
"24",2152.045058,23.2373956736087,2879.6833938,55.1284816591342,3155.0706414,39.4145666982831,NA,NA,NA,NA,NA,NA
"25",2161.041843,23.0601603230707,2879.6833938,55.1284816591342,3160.4085486,40.9969215743431,NA,NA,NA,NA,NA,NA
"26",2171.120764,23.0094189928514,2879.6833938,55.1284816591342,3159.7870584,39.7665172619286,NA,NA,NA,NA,NA,NA
"27",2178.041037,22.9888987033805,2879.6833938,55.1284816591342,3163.1407392,38.7161980396504,NA,NA,NA,NA,NA,NA
"28",2187.645352,22.7913291838095,2879.6833938,55.1284816591342,3155.4990016,37.221814046598,NA,NA,NA,NA,NA,NA
"29",2193.870143,22.7059987598755,2879.6833938,55.1284816591342,3160.704342,37.2428058771457,NA,NA,NA,NA,NA,NA
"30",2202.625233,22.7726415955171,2879.6833938,55.1284816591342,3198.1564786,39.997920402554,NA,NA,NA,NA,NA,NA
"31",2209.170409,22.3890178933325,2879.6833938,55.1284816591342,3197.4608854,38.8524592327649,NA,NA,NA,NA,NA,NA
"32",2216.757633,22.2384784626902,2879.6833938,55.1284816591342,3206.7562302,40.2750269188818,NA,NA,NA,NA,NA,NA
"33",2225.264948,22.3508072831128,2879.6833938,55.1284816591342,3202.206396,39.6046079611001,NA,NA,NA,NA,NA,NA
"34",2235.433841,22.4876049830336,2879.6833938,55.1284816591342,3216.972742,37.900672517937,NA,NA,NA,NA,NA,NA
"35",2244.266623,22.1451734394159,2879.6833938,55.1284816591342,3232.6298078,36.7942938817209,NA,NA,NA,NA,NA,NA
"36",2250.078029,22.2589616459322,2879.6833938,55.1284816591342,3239.7713096,36.3455433268969,NA,NA,NA,NA,NA,NA
"37",2254.442028,22.1978746470404,2879.6833938,55.1284816591342,3266.8511866,36.3887840484495,NA,NA,NA,NA,NA,NA
"38",2261.818541,21.8176900167364,2879.6833938,55.1284816591342,3280.3257598,35.5048901690816,NA,NA,NA,NA,NA,NA
"39",2271.63222,20.8288495190523,2879.6833938,55.1284816591342,3304.2931108,35.4817887643349,NA,NA,NA,NA,NA,NA
"40",2280.751294,19.8576809378765,2879.6833938,55.1284816591342,3310.8798028,35.4490563358513,NA,NA,NA,NA,NA,NA
"41",2287.456778,19.4342760105769,2879.6833938,55.1284816591342,3312.7945658,35.3452320972474,NA,NA,NA,NA,NA,NA
"42",2294.373377,19.0249050815514,2879.6833938,55.1284816591342,3320.8273392,34.5075044756709,NA,NA,NA,NA,NA,NA
"43",2306.057929,18.04452786604,2879.6833938,55.1284816591342,3331.6527212,33.4685494178975,NA,NA,NA,NA,NA,NA
"44",2312.704718,16.9649021913801,2879.6833938,55.1284816591342,3338.7393984,32.1707586737562,NA,NA,NA,NA,NA,NA
"45",2319.582715,16.312196094575,2879.6833938,55.1284816591342,3353.5846216,31.5164493080151,NA,NA,NA,NA,NA,NA
"46",2324.294704,15.9836987296253,2879.6833938,55.1284816591342,3363.7952648,31.5303399564177,NA,NA,NA,NA,NA,NA
"47",2327.456238,15.9890189655403,2879.6833938,55.1284816591342,3371.131969,30.2799082953679,NA,NA,NA,NA,NA,NA
"48",2332.924407,15.6507842124606,2879.6833938,55.1284816591342,3394.4928998,31.1571932511438,NA,NA,NA,NA,NA,NA
"49",2337.077032,15.9047537238816,2879.6833938,55.1284816591342,3404.7793682,30.3929049724634,NA,NA,NA,NA,NA,NA
"50",2340.112274,15.7206919802866,2879.6833938,55.1284816591342,3413.1038902,30.2851997067751,NA,NA,NA,NA,NA,NA
"51",2342.616273,15.7527636684786,2879.6833938,55.1284816591342,3426.3355228,28.9507469172236,NA,NA,NA,NA,NA,NA
"52",2346.13711,15.8141559041919,2879.6833938,55.1284816591342,3448.742253,28.5486889586555,NA,NA,NA,NA,NA,NA
