"","V1"
"V1",74
"V2",32
"V3",27
"V4",21
"V5",49
"V6",22
"V7",28
"V8",51
"V9",71
"V10",56
"V11",39
"V12",69
"V13",69
"V14",42
"V15",74
"V16",32
"V17",35
"V18",34
"V19",37
"V20",67
"V21",35
"V22",42
"V23",56
"V24",41
"V25",13
"V26",51
"V27",48
"V28",72
"V29",33
"V30",73
"V31",57
"V32",57
"V33",48
"V34",57
"V35",56
"V36",40
"V37",48
"V38",45
"V39",70
"V40",11
"V41",15
"V42",60
"V43",19
"V44",25
"V45",34
"V46",30
"V47",35
"V48",30
"V49",41
"V50",52
"V51",68
"V52",43
"V53",44
"V54",16
"V55",27
"V56",59
"V57",43
"V58",55
"V59",43
"V60",52
"V61",73
"V62",34
"V63",29
"V64",43
"V65",33
"V66",73
"V67",74
"V68",24
"V69",57
"V70",60
"V71",67
"V72",28
"V73",53
"V74",35
"V75",67
"V76",52
"V77",35
"V78",75
"V79",46
"V80",53
"V81",30
"V82",46
"V83",57
"V84",40
"V85",71
"V86",73
"V87",41
"V88",11
"V89",46
"V90",32
"V91",32
"V92",74
"V93",63
"V94",69
"V95",49
"V96",70
"V97",73
"V98",48
"V99",23
"V100",66
