"","all_EHVI","all_EHVI_sd","GEHVI","GEHVI_sd","DEHVI","DEHVI_sd","all_EI_EI","all_EI_EI_sd","GEI_EI","GEI_EI_sd","DEI_EI","DEI_EI_sd"
"1",1498.973297,8.52833102618979,1498.973297,8.52833102618979,1498.973297,8.52833102618979,NA,NA,NA,NA,NA,NA
"2",1753.508622,28.1533080484423,1695.225557,29.9572532032735,1695.225557,29.9572532032735,NA,NA,NA,NA,NA,NA
"3",1849.646614,24.0868990970423,1775.807301,27.9231633303591,1785.681504,28.3599226094295,NA,NA,NA,NA,NA,NA
"4",1902.330605,20.3432223671139,1835.462571,22.312949441869,1857.565275,21.8693147196329,NA,NA,NA,NA,NA,NA
"5",1923.133748,20.9210659695532,1864.447612,19.7514053502337,1893.432226,19.9477558602009,NA,NA,NA,NA,NA,NA
"6",1946.020131,19.0310219248897,1895.399614,19.8673956973198,1913.331612,18.9221796476186,NA,NA,NA,NA,NA,NA
"7",1958.958289,18.7840779206128,1909.813523,16.5517107639864,1928.46906,16.3807277265155,NA,NA,NA,NA,NA,NA
"8",1972.981293,18.6871343437624,1920.577187,14.8882784400403,1943.966449,18.293716694727,NA,NA,NA,NA,NA,NA
"9",1983.441905,19.2080650014511,1938.232406,13.7004142606709,1961.488702,18.3132207752421,NA,NA,NA,NA,NA,NA
"10",1994.382085,20.3851913686776,1951.965166,12.9578528066277,1978.185632,16.570512134402,NA,NA,NA,NA,NA,NA
"11",2006.828461,19.4593833346041,1960.796921,12.4698410942294,1991.906285,16.5156203332501,NA,NA,NA,NA,NA,NA
"12",2023.55604,19.3451088877091,1966.231491,12.7724094405964,2008.784374,17.4652589069797,NA,NA,NA,NA,NA,NA
"13",2037.766619,20.2272962830623,1976.832327,13.0036746992043,2018.371304,17.6195139402591,NA,NA,NA,NA,NA,NA
"14",2049.15153,20.0611883929319,1984.220968,13.6489430150289,2032.719891,17.5746562293671,NA,NA,NA,NA,NA,NA
"15",2061.588015,20.4457977379107,1991.262601,13.8835874505214,2043.070305,17.9454415115406,NA,NA,NA,NA,NA,NA
