"","all_EHVI","all_EHVI_sd","GEHVI","GEHVI_sd","DEHVI","DEHVI_sd","all_EI_EI","all_EI_EI_sd","GEI_EI","GEI_EI_sd","DEI_EI","DEI_EI_sd"
"1",0.259164801769096,0.00645334090013183,0.259164801769096,0.00645334090013183,0.259164801769096,0.00645334090013183,0.259164801769096,0.00645334090013183,0.259164801769096,0.00645334090013183,0.259164801769096,0.00645334090013183
"2",0.291316000602462,0.0138368768601604,0.290148461951229,0.0130447391791086,0.305443680933265,0.0143406836554114,0.310041339157135,0.0155010963402337,0.305763270865589,0.0156058380918754,0.301500578709253,0.0145112541989929
"3",0.324808908756618,0.0166607593853861,0.316410295720541,0.0164511321093306,0.361890375149835,0.0170395904220446,0.356372343166267,0.0171310794252997,0.348974556981071,0.016752737478215,0.346311039485732,0.0174539812545623
"4",0.337515160170687,0.0181698573027368,0.331757975637216,0.0174343316220711,0.393747828290963,0.0158528695173409,0.383166649241043,0.0168035239199288,0.383462690700646,0.0183164008469742,0.386276646577307,0.0177235992997229
"5",0.346693230067759,0.0198063277826083,0.346260231117646,0.0193355899987859,0.414635244784903,0.0162565723423072,0.414647239944394,0.0177955413178656,0.413356138969009,0.0179759319154792,0.410846503056013,0.0182901646866395
"6",0.361222551507925,0.0199305404487441,0.363359104068858,0.0205757791669463,0.439586063653939,0.0144924018652532,0.435743029015999,0.0158779282058829,0.447259164207913,0.0161238361159511,0.449886740922485,0.0166325756356871
"7",0.383917679027029,0.0208875979248762,0.380303957646589,0.0216256746066618,0.461035908872116,0.0144315199691378,0.45250803113138,0.01391646489453,0.468963124719059,0.0152954622067834,0.468017240821555,0.0153707549579984
"8",0.405374841780292,0.0201701477418537,0.398359886170005,0.0210073773260857,0.477346427093739,0.0124408170567416,0.461677751882304,0.0131928263994944,0.484543091727225,0.0138095947417127,0.484378459518488,0.0146863807291154
"9",0.419973464774165,0.019172364723447,0.41978350643771,0.0215333391140081,0.484460452082917,0.0119880376556319,0.475122075623065,0.012161016304285,0.500542765312323,0.0126846339024049,0.498933709246912,0.0135301923217393
"10",0.448709613000699,0.0170344815963855,0.440483736834274,0.0207993596629,0.493802040918531,0.0121818895961402,0.484797172599724,0.0128732711382484,0.508539712080253,0.0125091564865579,0.511175105460036,0.0130930278188692
"11",0.467933272085081,0.0144141816869887,0.454300182570006,0.018761522040619,0.502517480153082,0.0114937593712963,0.491487578247261,0.0129470474556792,0.515584041963215,0.0118994071791184,0.52027180628184,0.012604247646286
