"","V1"
"V1",8
"V2",50
"V3",7
"V4",33
"V5",28
"V6",13
"V7",10
"V8",13
"V9",33
"V10",9
"V11",10
"V12",18
"V13",16
"V14",9
"V15",30
"V16",6
"V17",49
"V18",48
"V19",6
"V20",42
"V21",14
"V22",21
"V23",11
"V24",13
"V25",13
"V26",19
"V27",11
"V28",14
"V29",27
"V30",11
"V31",20
"V32",28
"V33",7
"V34",31
"V35",20
"V36",40
"V37",41
"V38",17
"V39",11
"V40",42
"V41",16
"V42",24
"V43",49
"V44",13
"V45",7
"V46",18
"V47",1
"V48",20
"V49",23
"V50",9
"V51",9
"V52",1
"V53",24
"V54",40
"V55",5
"V56",16
"V57",15
"V58",12
"V59",20
"V60",38
"V61",26
"V62",12
"V63",7
"V64",9
"V65",14
"V66",10
"V67",10
"V68",2
"V69",8
"V70",20
"V71",38
"V72",24
"V73",32
"V74",6
"V75",13
"V76",4
"V77",25
"V78",29
"V79",36
"V80",48
"V81",38
"V82",2
"V83",2
"V84",9
"V85",10
"V86",12
"V87",1
"V88",6
"V89",48
"V90",12
"V91",7
"V92",4
"V93",13
"V94",14
"V95",44
"V96",29
"V97",38
"V98",8
"V99",13
"V100",22
