"","V1"
"V1",6
"V2",8
"V3",5
"V4",5
"V5",12
"V6",6
"V7",12
"V8",10
"V9",7
"V10",18
"V11",5
"V12",4
"V13",6
"V14",12
"V15",4
"V16",8
"V17",23
"V18",7
"V19",7
"V20",6
"V21",7
"V22",50
"V23",9
"V24",9
"V25",5
"V26",4
"V27",5
"V28",13
"V29",6
"V30",7
"V31",10
"V32",6
"V33",6
"V34",8
"V35",4
"V36",13
"V37",10
"V38",9
"V39",5
"V40",11
"V41",8
"V42",5
"V43",11
"V44",8
"V45",7
"V46",9
"V47",6
"V48",7
"V49",3
"V50",7
"V51",5
"V52",8
"V53",9
"V54",9
"V55",8
"V56",5
"V57",5
"V58",11
"V59",5
"V60",7
"V61",3
"V62",11
"V63",5
"V64",10
"V65",6
"V66",4
"V67",16
"V68",4
"V69",10
"V70",10
"V71",7
"V72",13
"V73",9
"V74",13
"V75",9
"V76",5
"V77",11
"V78",4
"V79",6
"V80",5
"V81",5
"V82",7
"V83",11
"V84",4
"V85",8
"V86",6
"V87",11
"V88",9
"V89",20
"V90",5
"V91",5
"V92",5
"V93",5
"V94",6
"V95",3
"V96",12
"V97",6
"V98",7
"V99",6
"V100",10
