"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1434.906616,12.880176151365,2862.7223242,58.9045388360751,2862.7223242,58.9045388360751,1434.906616,12.880176151365,2862.7223242,58.9045388360751,2862.7223242,58.9045388360751
"2",1589.969859,31.2189640150775,2893.8385602,57.1140009215751,2931.352554,68.2253212498731,1600.037461,30.662899301871,2895.5746822,55.5135524199068,2948.0235652,58.7639453654588
"3",1718.110106,27.4548707279171,2926.8590282,57.5217355967816,3045.217601,71.4796450871895,1700.784488,27.2051764411651,2925.6556992,52.8912292935192,2997.5183106,62.5446942163835
"4",1809.996125,27.9852797636152,2954.8856342,56.1806068641367,3087.0345356,71.0020597862963,1779.225091,23.2070674106483,2951.3961832,49.1594384100777,3055.2869876,55.2641531535269
"5",1864.228756,26.3545659032945,2966.9329392,54.9733467024153,3125.3069612,69.6426541132769,1810.990171,23.0600440660291,2965.1378742,47.8193402603019,3105.0418164,55.1967498644913
"6",1905.681386,25.4634452665441,2980.8931462,53.7571518178538,3104.4970528,61.8138505275533,1841.869745,22.0937451129992,2979.6264282,47.3387716367388,3144.9803162,51.539387859948
"7",1933.050897,22.7619501819049,2992.3658062,52.2671382376684,3114.4361684,57.0395675400559,1868.940264,21.4590764174227,2992.0042452,45.9542287433692,3154.6200004,53.8679971813121
"8",1948.681031,21.8938677366475,2998.1371432,51.4332037358295,3121.9525208,56.7376568251848,1889.172159,18.4796132110434,3006.3534022,44.9490943733899,3172.8339628,51.3859885386651
"9",1960.165968,20.8174574393697,3002.0689842,51.0433360225575,3138.9038558,54.1499318665756,1909.887856,16.9094438064963,3011.5770662,44.1989907895932,3185.0724256,50.3080154334803
"10",1975.870854,19.9446437801794,3007.4042592,50.440244656912,3135.0652868,51.6990915662559,1919.776805,16.0575467436327,3021.8167052,44.4760345366949,3197.2271008,50.9367075229138
"11",1982.528714,19.6737644158525,3011.6673192,49.9779032619213,3145.5877412,49.5181479663602,1937.322817,14.8720815066226,3029.0443592,43.6761319436578,3217.4616684,49.1607474033267
"12",1990.156766,18.9709571955891,3023.3930472,47.7557321638105,3156.8625956,49.6145364574763,1948.348747,15.3757673483055,3034.1492812,43.5439022758815,3210.7464096,49.2303732740838
"13",1997.233765,19.6554632354018,3027.0591212,47.3269485581704,3162.4226562,48.2701683598161,1957.098675,15.326946586526,3041.2259952,43.1194559167138,3218.8033854,46.0150626469399
"14",2003.716223,20.0959050558631,3031.8544092,46.6701090787697,3156.005882,48.4490529380955,1970.507454,16.2682472650733,3047.4934832,42.7944650887989,3223.911312,46.2972325800397
"15",2021.249665,20.6761429941614,3035.3207862,46.4256693280472,3145.5426752,45.624552880508,1977.899501,14.8942042395095,3051.8067522,42.4058658784961,3230.8844782,42.7524018437362
"16",2027.638829,20.3796606745079,3039.2089412,45.642764324064,3167.904478,47.4571556635988,1983.034823,14.070149661381,3054.9221792,42.3777235136627,3215.861373,37.7338700036239
"17",2040.878768,19.6570350960428,3041.9628612,44.9790743166923,3168.709077,46.1741311929004,1990.081641,13.4867034424847,3058.1560522,42.4143024718187,3225.9641418,37.619414735901
"18",2053.723519,18.7852148055913,3046.1283092,44.6720266395077,3171.8538368,45.7865694339894,1998.179758,12.7074353739847,3060.5543622,42.5639629591151,3220.5959794,35.1013795579788
