"","all_EHVI","all_EHVI_sd","GEHVI","GEHVI_sd","DEHVI","DEHVI_sd","all_EI_EI","all_EI_EI_sd","GEI_EI","GEI_EI_sd","DEI_EI","DEI_EI_sd"
"1",1434.906616,12.880176151365,1434.906616,12.880176151365,1434.906616,12.880176151365,1434.906616,12.880176151365,1434.906616,12.880176151365,1434.906616,12.880176151365
"2",1589.969859,31.2189640150775,1585.040703,30.6205835222263,1588.874777,30.3987991750021,1600.037461,30.662899301871,1563.187098,28.9270204450449,1563.187098,28.9270204450449
"3",1718.110106,27.4548707279171,1702.498746,28.7313981828092,1701.656556,28.1072192766983,1700.784488,27.2051764411651,1680.856884,28.1430736964671,1684.397615,28.3670954314971
"4",1809.996125,27.9852797636152,1784.518027,27.4781280865727,1781.770633,27.1731714863452,1779.225091,23.2070674106483,1748.955695,25.2450639873591,1762.422646,26.4841239250782
"5",1864.228756,26.3545659032945,1822.212288,24.8301850289056,1830.713049,26.7362456759126,1810.990171,23.0600440660291,1787.993156,23.0442340859618,1815.976985,23.4786507610336
"6",1905.681386,25.4634452665441,1853.950646,24.0823453589387,1862.308476,26.2305944309353,1841.869745,22.0937451129992,1820.79738,22.7283341370021,1841.823354,22.0127632856224
"7",1933.050897,22.7619501819049,1881.643287,22.1470122558646,1882.104197,24.8934086284323,1868.940264,21.4590764174227,1853.252489,21.2896918953475,1866.213275,20.2746984718385
"8",1948.681031,21.8938677366475,1901.873883,19.9199622560207,1899.286429,22.532848317393,1889.172159,18.4796132110434,1879.764118,20.1959090020105,1881.773795,18.9015937989486
"9",1960.165968,20.8174574393697,1913.396643,19.0932376948592,1911.918454,21.1036091563303,1909.887856,16.9094438064963,1898.372395,19.8832623970925,1895.715564,18.2997368291562
"10",1975.870854,19.9446437801794,1927.251409,18.5561105242894,1925.717364,20.0550256111587,1919.776805,16.0575467436327,1921.240913,19.5692256735151,1914.941741,17.1546197282412
"11",1982.528714,19.6737644158525,1940.606653,18.0794893974351,1945.773808,18.8253173639969,1937.322817,14.8720815066226,1933.931091,18.6904149010948,1928.12783,16.9310350212156
"12",1990.156766,18.9709571955891,1965.834322,17.0135410857479,1954.302926,18.703837741723,1948.348747,15.3757673483055,1947.352661,17.9249398130964,1945.99032,17.1911600584801
"13",1997.233765,19.6554632354018,1977.931492,17.2413589050527,1963.985341,18.9114044309688,1957.098675,15.326946586526,1960.860611,17.5217590700772,1963.613492,16.9776168175713
"14",2003.716223,20.0959050558631,1992.275804,17.4654899699401,1979.550642,18.4680302112606,1970.507454,16.2682472650733,1971.791939,17.1346841432598,1976.26175,17.3956271943759
"15",2021.249665,20.6761429941614,2002.356585,17.1011272586986,1991.63292,17.9867173417892,1977.899501,14.8942042395095,1983.655228,17.0290201862069,1987.358118,16.9240030404255
"16",2027.638829,20.3796606745079,2013.555232,16.8181506813228,1999.487941,17.2506185086763,1983.034823,14.070149661381,1994.82409,16.3112818043471,2005.113728,16.5844464949944
"17",2040.878768,19.6570350960428,2020.911844,16.204327678344,2006.986219,16.8154896131678,1990.081641,13.4867034424847,2001.491601,16.6597183532183,2018.421317,17.4211184022424
"18",2053.723519,18.7852148055913,2033.160326,15.0528679795293,2019.90625,17.0127869742892,1998.179758,12.7074353739847,2006.482944,16.553553126719,2027.803058,18.5040346236974
"19",2061.856442,18.2008764691532,2042.225142,16.1634917321724,2030.754724,17.1534484101201,2001.534936,12.5352919339305,2011.298288,16.1352612534156,2036.042446,18.9232728674135
"20",2067.729898,17.8307835749429,2048.213694,16.7669536181556,2041.096446,17.5933791973825,2005.348528,12.0890681589403,2018.214936,15.965745902339,2045.192332,20.2408078409003
"21",2071.631926,18.1377056273382,2054.402903,16.9656651121491,2050.634831,18.2377909726329,2009.315055,11.8156854256572,2026.242367,16.734854235139,2049.24338,20.5710219110192
"22",2077.874031,18.7069772771956,2057.406987,17.3134552596321,2060.537514,18.2333259601819,2010.630724,12.1621699602324,2028.563388,16.9737919735983,2055.642619,20.8328550728147
"23",2084.293643,18.7708676054772,2066.571256,17.701891491095,2071.175075,18.8684315485061,2013.858797,12.4434036982609,2035.840082,16.6832283821491,2062.006146,21.2242551902714
"24",2089.830836,19.4301759620325,2071.757749,18.0126043633418,2077.219414,19.2964198944051,2016.930892,12.4732144786606,2043.886136,17.8705985808801,2068.886537,21.7582676160528
"25",2096.539976,19.7787155158921,2081.592448,19.1484634733206,2087.459537,19.5372077361012,2020.980193,12.2906890259644,2047.976818,17.7367347447253,2080.511716,21.7058358787885
"26",2104.590369,20.3773898424506,2089.18065,19.3149660679037,2095.365008,19.2933281731875,2024.73745,12.4421507858958,2054.108115,17.536303181038,2087.787287,22.1762958871009
"27",2109.531606,20.4379818128405,2096.131276,19.5557363552921,2105.316112,19.6640249090365,2030.653876,12.4992900234906,2058.688085,17.265743031121,2095.939111,22.8638028870914
"28",2114.077903,20.8248327159849,2110.488951,20.8743788297247,2116.711027,19.4816064106394,2035.017433,12.5351556165101,2063.272893,17.1059854738337,2106.51765,23.2491297902757
"29",2120.548644,21.5471672865574,2124.900022,21.273616306943,2130.331214,19.616830542072,2039.400533,12.9307765332942,2069.729496,17.4994654352881,2113.789124,23.7339319893181
"30",2128.821954,21.4956209830202,2132.827306,21.0293777717493,2140.357621,19.7104169712425,2045.068306,12.9597317844723,2072.294501,17.6765798115557,2125.322147,24.5618611122986
"31",2134.988262,21.9604466257779,2144.307943,21.5730774415497,2149.744482,20.0742661389481,2052.687573,13.36108140959,2076.575959,18.0667650983796,2131.765412,24.9285773631432
"32",2141.031057,22.423634012227,2154.490414,21.3903489842301,2156.685894,20.1186881015187,2057.159883,13.5234660114925,2080.17818,18.2236065559714,2141.46698,25.9158695381125
"33",2146.65399,23.1649971538791,2164.883446,20.7225247785118,2171.622758,20.6013615044844,2061.83611,13.6198561104547,2084.500903,18.4132784461681,2147.077514,26.4481399040028
"34",2152.617396,24.0337551893554,2172.870914,21.0835940221909,2181.49753,21.25589839957,2070.917974,13.32586230262,2090.108277,19.2347531860523,2162.681768,26.6835894520605
"35",2160.76461,24.1657692814965,2181.397151,20.8635708904485,2190.706183,21.3358716777407,2077.982554,12.9555756985919,2094.654414,19.0508244567527,2170.64997,26.632738670447
"36",2170.636252,24.2943525107885,2186.627509,20.5701516124391,2199.406371,21.4972872664607,2084.990013,13.213094041862,2100.029858,19.523025619239,2175.395058,26.9779527892588
"37",2179.507362,24.1327220386152,2196.322999,19.6361618758147,2209.315179,21.3251843495286,2089.066037,13.138515420902,2104.722449,19.8014647280197,2181.372109,27.8002765428873
"38",2185.804471,24.4914117614244,2203.232064,19.3894003288051,2215.964301,21.7049847655262,2096.064004,13.867352894923,2110.405591,20.4104797198684,2186.693919,28.3538701461398
"39",2192.701751,24.453996816259,2208.678121,19.389319968187,2221.349485,21.9654310177439,2105.716525,14.3791720749218,2117.13104,20.7524083404869,2190.766855,28.5191744203839
"40",2204.176136,24.1412291393381,2219.137648,19.0560184695455,2229.176563,22.328342725586,2114.708273,14.6369634071571,2121.39843,20.9657926495997,2195.024457,28.5922806333783
"41",2212.306889,23.8606777762061,2228.747714,19.1042672625335,2234.186078,22.5382057281513,2127.104295,14.8830203313964,2129.146124,21.8694299522608,2201.934037,28.8547548592542
"42",2219.611756,23.4546861960403,2237.481378,18.8630761085842,2240.117443,22.7389788004712,2133.520595,15.1535910073144,2134.350663,22.3999933218161,2205.798075,29.3342530300993
"43",2228.323899,23.1834442420068,2242.502818,18.7458881602288,2245.331809,22.6691910828326,2137.594637,15.6349429852867,2141.996412,23.2090372061016,2207.376591,29.4135001104696
"44",2236.656388,23.1424020844356,2250.418561,18.3233065452291,2249.323892,22.7982464874112,2139.917951,15.9985497210132,2150.014802,24.1496542946929,2210.694014,29.6706760661705
"45",2241.715628,23.1312042376635,2256.041942,18.2761434685017,2253.570784,23.1413103840428,2144.71077,16.5706217302877,2156.887318,24.6835241499793,2213.455946,29.8816896133485
"46",2252.206197,22.4633469190062,2262.187677,18.100590353361,2258.075243,23.4288665974782,2150.34241,17.2270977030471,2162.766014,25.3755077534202,2216.247011,30.1764701956445
"47",2264.478569,21.9880320852953,2269.830051,18.1132601387626,2261.963466,23.7039876697741,2154.897187,17.9686777940924,2169.589744,25.7891497830151,2218.818219,30.5670128526513
"48",2275.959859,20.9374943426483,2275.070407,17.9935735003751,2264.922582,23.884337815191,2160.136777,18.2841203336807,2173.277402,26.2808023817588,2220.410621,30.789793429914
"49",2282.851742,21.0032713312748,2281.568748,18.0827374556584,2269.639782,24.0709808207775,2169.682365,18.950278327698,2178.688498,26.6097989698574,2221.985283,31.0777901598308
"50",2292.204177,20.408308347085,2286.61488,17.915752745278,2273.003499,24.347907135038,2176.627415,19.1305541054271,2182.489522,27.0151125137309,2222.773183,31.1322146602888
"51",2298.558046,20.1050247778094,2291.52759,17.9322335418206,2274.944659,24.5260338542835,2185.417033,19.2753681096674,2188.157787,27.4176198376795,2223.427,31.2228198977409
