"","V1"
"V1",64
"V2",72
"V3",80
"V4",22
"V5",35
"V6",74
"V7",79
"V8",77
"V9",49
"V10",76
"V11",49
"V12",59
"V13",77
"V14",64
"V15",70
"V16",17
"V17",67
"V18",70
"V19",29
"V20",74
"V21",16
"V22",67
"V23",76
"V24",80
"V25",49
"V26",79
"V27",80
"V28",76
"V29",62
"V30",76
"V31",74
"V32",80
"V33",22
"V34",75
"V35",80
"V36",56
"V37",79
"V38",43
"V39",59
"V40",80
"V41",63
"V42",78
"V43",55
"V44",60
"V45",53
"V46",80
"V47",78
"V48",65
"V49",79
"V50",24
"V51",58
"V52",55
"V53",60
"V54",80
"V55",77
"V56",64
"V57",79
"V58",78
"V59",60
"V60",17
"V61",70
"V62",80
"V63",74
"V64",78
"V65",43
"V66",69
"V67",47
"V68",74
"V69",57
"V70",49
"V71",15
"V72",78
"V73",76
"V74",63
"V75",74
"V76",37
"V77",73
"V78",78
"V79",71
"V80",65
"V81",60
"V82",13
"V83",80
"V84",75
"V85",25
"V86",76
"V87",67
"V88",60
"V89",79
"V90",70
"V91",17
"V92",18
"V93",76
"V94",59
"V95",76
"V96",63
"V97",80
"V98",80
"V99",72
"V100",80
