"","V1"
"V1",38
"V2",54
"V3",28
"V4",35
"V5",47
"V6",56
"V7",32
"V8",46
"V9",31
"V10",28
"V11",35
"V12",48
"V13",70
"V14",12
"V15",46
"V16",34
"V17",27
"V18",47
"V19",17
"V20",52
"V21",61
"V22",37
"V23",47
"V24",38
"V25",10
"V26",26
"V27",51
"V28",27
"V29",56
"V30",21
"V31",10
"V32",31
"V33",37
"V34",36
"V35",21
"V36",35
"V37",27
"V38",38
"V39",35
"V40",36
"V41",42
"V42",32
"V43",12
"V44",80
"V45",45
"V46",51
"V47",26
"V48",65
"V49",56
"V50",39
"V51",40
"V52",51
"V53",51
"V54",77
"V55",27
"V56",47
"V57",39
"V58",12
"V59",25
"V60",11
"V61",64
"V62",24
"V63",11
"V64",14
"V65",25
"V66",80
"V67",35
"V68",47
"V69",14
"V70",28
"V71",54
"V72",9
"V73",43
"V74",10
"V75",35
"V76",79
"V77",31
"V78",78
"V79",32
"V80",40
"V81",32
"V82",21
"V83",57
"V84",35
"V85",71
"V86",42
"V87",44
"V88",27
"V89",14
"V90",29
"V91",20
"V92",55
"V93",58
"V94",7
"V95",38
"V96",29
"V97",36
"V98",79
"V99",46
"V100",23
