"","V1"
"V1",56
"V2",62
"V3",42
"V4",80
"V5",69
"V6",80
"V7",61
"V8",60
"V9",42
"V10",51
"V11",61
"V12",80
"V13",67
"V14",23
"V15",65
"V16",80
"V17",60
"V18",28
"V19",31
"V20",71
"V21",74
"V22",59
"V23",66
"V24",51
"V25",72
"V26",36
"V27",38
"V28",53
"V29",43
"V30",24
"V31",37
"V32",42
"V33",58
"V34",61
"V35",31
"V36",35
"V37",52
"V38",60
"V39",47
"V40",31
"V41",58
"V42",54
"V43",28
"V44",71
"V45",54
"V46",68
"V47",58
"V48",24
"V49",41
"V50",51
"V51",72
"V52",73
"V53",50
"V54",40
"V55",42
"V56",58
"V57",66
"V58",24
"V59",35
"V60",19
"V61",59
"V62",68
"V63",41
"V64",57
"V65",35
"V66",59
"V67",49
"V68",39
"V69",46
"V70",37
"V71",66
"V72",26
"V73",41
"V74",62
"V75",39
"V76",46
"V77",38
"V78",68
"V79",40
"V80",69
"V81",50
"V82",23
"V83",59
"V84",61
"V85",50
"V86",51
"V87",80
"V88",32
"V89",22
"V90",56
"V91",55
"V92",68
"V93",74
"V94",30
"V95",69
"V96",56
"V97",80
"V98",68
"V99",66
"V100",41
