"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",16
"9",17
"10",18
"11",19
"12",20
"13",21
"14",22
"15",23
"16",26
"17",27
"18",28
"19",29
"20",32
"21",33
"22",34
"23",37
"24",38
"25",39
"26",43
"27",45
"28",49
"29",50
"30",52
"31",61
"32",63
"33",68
"34",71
"35",76
"36",77
"37",78
"38",79
"39",81
"40",86
"41",87
"42",89
"43",102
"44",103
"45",104
"46",105
"47",106
"48",112
"49",113
