"","all_EHVI","all_EHVI_sd","GEHVI","GEHVI_sd","DEHVI","DEHVI_sd","all_EI_EI","all_EI_EI_sd","GEI_EI","GEI_EI_sd","DEI_EI","DEI_EI_sd"
"1",3.92036027952568,0.26860520661858,3.92036027952568,0.26860520661858,3.92036027952568,0.26860520661858,NA,NA,NA,NA,NA,NA
"2",3.27702706537133,0.480116558043706,3.66640633357518,0.440464300633985,3.82019481424499,0.512630364593697,NA,NA,NA,NA,NA,NA
"3",5.82380947079755,0.698164245158217,2.35951478010044,0.354058367974759,2.66542521639867,0.473467015831486,NA,NA,NA,NA,NA,NA
"4",8.459935487277,0.980858775054225,2.32202712311519,0.431008108006524,1.79633486152099,0.337111676935955,NA,NA,NA,NA,NA,NA
"5",5.86127850477451,0.903044603525819,2.07609480587523,0.369581741264374,0.929823675835101,0.240649377513685,NA,NA,NA,NA,NA,NA
"6",3.13574893286412,0.677908778070384,1.75173223788316,0.366995262517454,0.86342907947746,0.260749161619928,NA,NA,NA,NA,NA,NA
"7",5.61307009028865,1.23687413267049,1.48124453391769,0.340343737621788,0.711451774560598,0.304612412856574,NA,NA,NA,NA,NA,NA
"8",4.67059518869226,1.28509318780476,1.24657163998332,0.338196463349403,0.308161930801768,0.196892042331507,NA,NA,NA,NA,NA,NA
"9",4.43692890433681,1.38074726435324,1.09132128891371,0.295846238671446,0.0249848145296603,0.036904340952477,NA,NA,NA,NA,NA,NA
"10",3.21081720269098,1.07354535901279,1.07450039529489,0.318802392291376,0.0167692904796801,0.033273910435858,NA,NA,NA,NA,NA,NA
"11",5.27984063752766,1.51916146305486,0.840280454719191,0.289551782168877,0,0,NA,NA,NA,NA,NA,NA
"12",4.63200386741942,1.3624988667817,0.665129675234731,0.285536805552296,0,0,NA,NA,NA,NA,NA,NA
"13",3.70181205301779,1.12519648640871,0.534015505405206,0.259083775643829,0,0,NA,NA,NA,NA,NA,NA
"14",3.17282062584628,0.964969468479902,0.397578424951032,0.235324077254573,0,0,NA,NA,NA,NA,NA,NA
"15",4.11331264010817,1.25801424829918,0.286360374215678,0.217927003888818,0,0,NA,NA,NA,NA,NA,NA
"16",4.06753922846053,1.2921479912859,0.182943175357657,0.179795365064799,0,0,NA,NA,NA,NA,NA,NA
"17",4.9264315761879,1.50045998760914,0.0431744892093416,0.0856675533652604,0,0,NA,NA,NA,NA,NA,NA
"18",4.04979429184598,1.23398072225461,0,0,0,0,NA,NA,NA,NA,NA,NA
"19",3.93769458074879,1.22854922115322,0,0,0,0,NA,NA,NA,NA,NA,NA
"20",4.25978771660038,1.28675358734465,0,0,0,0,NA,NA,NA,NA,NA,NA
"21",3.42741157029443,1.00943144868006,0,0,0,0,NA,NA,NA,NA,NA,NA
"22",3.56758191884777,1.0567150847197,0,0,0,0,NA,NA,NA,NA,NA,NA
"23",3.49160168782263,1.02920484442313,0,0,0,0,NA,NA,NA,NA,NA,NA
"24",4.17364094553912,1.24969470485304,0,0,0,0,NA,NA,NA,NA,NA,NA
"25",4.78952793873314,1.54006970416417,0,0,0,0,NA,NA,NA,NA,NA,NA
"26",5.40672391654088,1.85830940865661,0,0,0,0,NA,NA,NA,NA,NA,NA
"27",3.96768045948136,1.50036980424016,0,0,0,0,NA,NA,NA,NA,NA,NA
"28",2.79654750302854,0.868175099353198,0,0,0,0,NA,NA,NA,NA,NA,NA
"29",3.82386033414845,1.22744928572145,0,0,0,0,NA,NA,NA,NA,NA,NA
"30",4.54630000397645,1.39960051294236,0,0,0,0,NA,NA,NA,NA,NA,NA
"31",4.86966454384933,1.43820874515087,0,0,0,0,NA,NA,NA,NA,NA,NA
"32",4.954275077057,1.47529320744498,0,0,0,0,NA,NA,NA,NA,NA,NA
"33",4.73494251324303,1.42070988267567,0,0,0,0,NA,NA,NA,NA,NA,NA
"34",4.55412827080058,1.37981960901705,0,0,0,0,NA,NA,NA,NA,NA,NA
"35",3.88060579091772,1.18445207865277,0,0,0,0,NA,NA,NA,NA,NA,NA
"36",3.65189711263531,1.14455915902128,0,0,0,0,NA,NA,NA,NA,NA,NA
"37",3.46742050148026,1.06645258700903,0,0,0,0,NA,NA,NA,NA,NA,NA
"38",3.96163241462256,1.18796019204769,0,0,0,0,NA,NA,NA,NA,NA,NA
"39",3.98038518753058,1.22412899708301,0,0,0,0,NA,NA,NA,NA,NA,NA
"40",3.77174892916257,1.15126921547197,0,0,0,0,NA,NA,NA,NA,NA,NA
"41",4.13264795348535,1.25073218077533,0,0,0,0,NA,NA,NA,NA,NA,NA
"42",3.58899878209432,1.14448658193537,0,0,0,0,NA,NA,NA,NA,NA,NA
"43",2.54812437082502,0.933201268570093,0,0,0,0,NA,NA,NA,NA,NA,NA
"44",2.06365499336737,0.806172599419845,0,0,0,0,NA,NA,NA,NA,NA,NA
"45",1.89349186729749,0.849207682490895,0,0,0,0,NA,NA,NA,NA,NA,NA
"46",1.80548581891262,0.930076686202905,0,0,0,0,NA,NA,NA,NA,NA,NA
"47",1.63894354253562,0.915059049172763,0,0,0,0,NA,NA,NA,NA,NA,NA
"48",1.38208749522478,0.827662162209402,0,0,0,0,NA,NA,NA,NA,NA,NA
"49",1.12556266594248,0.729551001608352,0,0,0,0,NA,NA,NA,NA,NA,NA
"50",1.04334333112673,0.686297563145852,0,0,0,0,NA,NA,NA,NA,NA,NA
"51",1.03905955285929,0.73496674774623,0,0,0,0,NA,NA,NA,NA,NA,NA
