"","V1"
"V1",11
"V2",5
"V3",6
"V4",13
"V5",12
"V6",12
"V7",9
"V8",5
"V9",5
"V10",9
"V11",5
"V12",12
"V13",5
"V14",7
"V15",14
"V16",10
"V17",12
"V18",5
"V19",5
"V20",5
"V21",16
"V22",7
"V23",7
"V24",13
"V25",4
"V26",9
"V27",5
"V28",7
"V29",9
"V30",11
"V31",6
"V32",1
"V33",6
"V34",4
"V35",5
"V36",14
"V37",5
"V38",6
"V39",11
"V40",6
"V41",16
"V42",11
"V43",17
"V44",7
"V45",6
"V46",13
"V47",4
"V48",3
"V49",10
"V50",16
"V51",6
"V52",11
"V53",11
"V54",15
"V55",5
"V56",16
"V57",5
"V58",11
"V59",7
"V60",5
"V61",13
"V62",12
"V63",3
"V64",10
"V65",11
"V66",8
"V67",11
"V68",9
"V69",5
"V70",5
"V71",5
"V72",4
"V73",10
"V74",5
"V75",6
"V76",12
"V77",15
"V78",6
"V79",6
"V80",8
"V81",5
"V82",14
"V83",12
"V84",8
"V85",14
"V86",8
"V87",7
"V88",5
"V89",9
"V90",6
"V91",5
"V92",4
"V93",5
"V94",5
"V95",8
"V96",12
"V97",15
"V98",10
"V99",10
"V100",11
