"","V1"
"V1",32
"V2",50
"V3",40
"V4",13
"V5",47
"V6",36
"V7",37
"V8",35
"V9",73
"V10",10
"V11",94
"V12",32
"V13",50
"V14",27
"V15",32
"V16",10
"V17",38
"V18",20
"V19",39
"V20",38
"V21",50
"V22",49
"V23",60
"V24",23
"V25",54
"V26",32
"V27",20
"V28",47
"V29",19
"V30",53
"V31",44
"V32",43
"V33",42
"V34",47
"V35",16
"V36",25
"V37",32
"V38",71
"V39",26
"V40",15
"V41",25
"V42",36
"V43",38
"V44",40
"V45",27
"V46",30
"V47",18
"V48",28
"V49",43
"V50",33
"V51",29
"V52",41
"V53",57
"V54",45
"V55",24
"V56",47
"V57",48
"V58",33
"V59",32
"V60",45
"V61",59
"V62",84
"V63",35
"V64",46
"V65",37
"V66",58
"V67",20
"V68",13
"V69",36
"V70",54
"V71",51
"V72",44
"V73",36
"V74",45
"V75",9
"V76",82
"V77",38
"V78",38
"V79",17
"V80",24
"V81",64
"V82",41
"V83",23
"V84",30
"V85",20
"V86",32
"V87",48
"V88",16
"V89",32
"V90",15
"V91",41
"V92",44
"V93",44
"V94",71
"V95",30
"V96",26
"V97",14
"V98",25
"V99",36
"V100",70
