"","Elongation","UTS"
"1",10.7,942
"2",9.19,931
"4",8.5,929
"8",11.87,974
"9",12.35,984
"10",14.03,994
"11",13.91,1000
"66",13.59,948
"42",11.77,1014
"90",8.8,1300
"27",4.47,946
"127",14.7,1136
"69",6.3,1393
"85",5.4,1250
"117",5.62,1200
"122",12.9,1221
